ATC;Kód;GP;Názov;Doplnok;Konečná c.;ŠDL;JD
B01AF02;3804A;X;Eliquis 5 mg filmom obalené tablety;tbl flm 60x5 mg (blis.PVC/PVDC/Al);63,44;2;DF
D07AC13;18600;;ELOCOM krém;crm der 1x30 g (tuba kovová);3,28;1;g
D07AC13;18416;;ELOCOM masť;ung der 1x30 g (tuba kovová);3,38;1;g
B02BD02;6840B;;ELOCTA 1000 IU prášok a rozpúšťadlo na injekčný roztok;plv iol 1x1000 IU+ 3 ml solv. (liek.inj.skl.+striek.inj.napl.skl.);614;500;UT
B02BD02;6841B;;ELOCTA 1500 IU prášok a rozpúšťadlo na injekčný roztok;plv iol 1x1500 IU+ 3 ml solv. (liek.inj.skl.+striek.inj.napl.skl.);916,99;500;UT
B02BD02;6842B;;ELOCTA 2000 IU prášok a rozpúšťadlo na injekčný roztok;plv iol 1x2000 IU+ 3 ml solv. (liek.inj.skl.+striek.inj.napl.skl.);1219,2;500;UT
B02BD02;6837B;;ELOCTA 250 IU prášok a rozpúšťadlo na injekčný roztok;plv iol 1x250 IU+ 3 ml solv. (liek.inj.skl.+striek.inj.napl.skl.);157,23;500;UT
B02BD02;6843B;;ELOCTA 3000 IU prášok a rozpúšťadlo na injekčný roztok;plv iol 1x3000 IU+ 3 ml solv. (liek.inj.skl.+striek.inj.napl.skl.);1823,62;500;UT
B02BD02;6838B;;ELOCTA 500 IU prášok a rozpúšťadlo na injekčný roztok;plv iol 1x500 IU+ 3 ml solv. (liek.inj.skl.+striek.inj.napl.skl.);309,95;500;UT
N06AX12;38038;X;Elontril 150 mg;tbl mod 30x150 mg (fľ.HDPE);10,75;300;mg
N06AX12;38041;X;Elontril 300 mg;tbl mod 30x300 mg (fľ.HDPE);22,44;300;mg
S01GX06;66135;;EMADINE 0,5 mg/ml očná roztoková instilácia;int opo 1x5 ml (fľ.LDPE);9,45;1;ml
A02BC05;86846;X;Emanera 20 mg tvrdé gastrorezistentné kapsuly;cps end 28x20 mg (blis.OPA/Al/PE+DES film/Al/PE);3,86;20;mg
A02BC05;4594A;X;Emanera 20 mg tvrdé gastrorezistentné kapsuly;cps end 90x20 mg (blis.OPA/Al/PVC/Al);8,34;20;mg
A02BC05;86858;X;Emanera 40 mg tvrdé gastrorezistentné kapsuly;cps end 28x40 mg (blis.OPA/Al/PE+DES film/Al/PE);5,8;20;mg
A02BC05;4605A;X;Emanera 40 mg tvrdé gastrorezistentné kapsuly;cps end 90x40 mg (blis.OPA/Al/PVC/Al);13;20;mg
A04AA02;35777;X;Emegar 1 mg;tbl flm 10x1 mg (blis.PVC/PVDC/Al);24,21;2;mg
A04AA02;35799;X;Emegar 2 mg;tbl flm 10x2 mg (blis.PVC/PVDC/Al);48,42;2;mg
A04AD12;40852;X;EMEND 125 mg tvrdé kapsuly, EMEND 80 mg tvrdé kapsuly;cps dur 1x125 mg+ 2x80 mg (blis.Al/Al);25,37;95;mg
N02CD02;0561D;;Emgality 120 mg injekčný roztok v naplnenom pere;sol inj 1x1 ml/120 mg (striek.inj.skl. v pere);450,98;4;mg
N07CA01;79368;X;Emperin 16 mg;tbl 60x16 mg (blis. PVC/PVDC/Al);5,04;24;mg
N07CA01;79376;X;Emperin 24 mg;tbl 100x24 mg (blis. PVC/PVDC/Al);10,03;24;mg
N07CA01;79375;X;Emperin 24 mg;tbl 60x24 mg (blis. PVC/PVDC/Al);6,02;24;mg
G04BD10;41986;X;Emselex;tbl plg 28x15 mg (bli.PVC/PVDc/alu);25,2;7,5;mg
G04BD10;41980;X;Emselex;tbl plg 28x7,5 mg (bli.PVC/PVDc/alu);16,66;7,5;mg
J05AR03;2323C;;Emtricitabine/Tenofovir disoproxil Krka 200 mg/245 mg filmom obalené tablety;tbl flm 30x200 mg/245 mg (fľ.HDPE);157,33;1;DF
J05AR03;2714C;;Emtricitabine/Tenofovir disoproxil Mylan 200 mg/245 mg filmom obalené tablety;tbl flm 30x200 mg/245 mg (fľ.HDPE);161,13;1;DF
C09AA02;68715;X;Enalapril Vitabalans 10 mg tablety;tbl 30x10 mg (blis.Al/Al);1,6;10;mg
C09AA02;68737;X;Enalapril Vitabalans 20 mg tablety;tbl 100x20 mg (blis.Al/Al);4,22;10;mg
C09AA02;68703;X;Enalapril Vitabalans 5 mg tablety;tbl 100x5 mg (blis.Al/Al);2,43;10;mg
C09AA02;68699;X;Enalapril Vitabalans 5 mg tablety;tbl 30x5 mg (blis.Al/Al);1,26;10;mg
L04AB01;9337;;Enbrel 10 mg prášok a rozpúšťadlo na injekčný roztok pre pediatrické použitie;plv iol 4x10 mg +4x1 ml solv. (liek.inj.skl.+striek.inj.napl.skl.);136,82;7;mg
L04AB01;36753;;Enbrel 25 mg injekčný roztok naplnený v injekčnej striekačke;sol inj 4x0,5 ml/25 mg (striek.inj.napl.skl.);278,95;7;mg
L04AB01;3260;;Enbrel 25 mg prášok a rozpúšťadlo na injekčný roztok;plv iol 4x25 mg + 4x1 ml solv. (liek.inj.skl.+striek.inj.napl.skl.);304,21;7;mg
L04AB01;36757;;Enbrel 50 mg injekčný roztok naplnený v injekčnej striekačke;sol inj 4x1 ml/50 mg (striek.inj.napl.skl.);603,17;7;mg
L04AB01;78432;;Enbrel 50 mg injekčný roztok v naplnenom pere;sol inj 4x1 ml/50 mg (striek.inj.napl.skl. v napl.pere MYCLIC);603,17;7;mg
G03DB08;1560D;X;Endovelle 2 mg tablety;tbl 1x28x2 mg (blis.Al/PVC/PVDC-kalendár.bal.);10,19;2;mg
L01AA01;0387B;;Endoxan 1000 mg prášok na injekčný roztok;plv ino 5x1 g (liek.inj.skl.);117,06;10;mg
L01AA01;0384B;;Endoxan 200 mg prášok na injekčný roztok;plv ino 50x200 mg (liek.inj.skl.);234,09;10;mg
L01AA01;0385B;;Endoxan 500 mg prášok na injekčný roztok;plv ino 6x500 mg (liek.inj.skl.);70,23;10;mg
C04AX21;45784;X;ENELBIN 100 retard;tbl plg 100x100 mg (blis.PVC/Al);13,74;0,2;g
R03AL12;5137D;;Enerzair Breezhaler 114 mikrogramov/46 mikrogramov/136 mikrogramov inhalačný prášok v tvrdých kapsulách;plv icd 30x1x114 µg/46 µg/136 µg (blis.PA/Al/PVC-Al + inh.);48,99;1;DF
J07BC01;25093;;ENGERIX-B 10 µg;sus inj 1x0,5 ml (striek.inj.skl.napln.);9,05;1;DF
J07BC01;25092;;ENGERIX-B 20 µg;sus inj 1x1 ml (striek.inj.skl.napln.);12,73;1;ml
D05AX52;9486B;;Enstilar 50 mikrogramov/g + 0,5 mg/g;spm der 1x60 g (nád.hliníková);43,08;1;g
J05AF10;0347D;X;Entecavir Xantis 0,5 mg;tbl flm 30x1x0,5 mg (blis.Al/OPA/Al/PVC-jednotliv.dáv.);149,04;0,5;mg
J05AF10;0350D;X;Entecavir Xantis 1 mg;tbl flm 30x1x1 mg (blis.Al/OPA/Al/PVC-jednotliv.dáv.);163,59;0,5;mg
A07EA06;83424;;Entocort 2 mg;tbl rul 7x2 mg +7 solv. (blis.Al+fľ.LDPE);34,36;2;mg
A07EA06;12701;X;Entocort 3 mg;cps mod 50x3 mg (fľ.HDPE);46,63;9;mg
C09DX04;7107B;;Entresto 24 mg/26 mg filmom obalené tablety;tbl flm 28x24 mg/26 mg (blis.PVC/PVDC/Al);63,91;2;DF
C09DX04;7109B;;Entresto 49 mg/51 mg filmom obalené tablety;tbl flm 56x49 mg/51 mg (blis.PVC/PVDC/Al);123,03;2;DF
C09DX04;7112B;;Entresto 97 mg/103 mg filmom obalené tablety;tbl flm 56x97 mg/103 mg (blis.PVC/PVDC/Al);123,32;2;DF
L04AA33;4534D;;Entyvio 108 mg injekčný roztok v naplnenom pere;sol inj 1x0,68 ml/108 mg (striek.inj.napl.skl.v pere);452,56;5,4;mg
L04AA33;0358B;;Entyvio 300 mg prášok na prípravu infúzneho koncentrátu;plc ifc 1x300 mg (liek.inj.skl.);1516,47;5,36;mg
J05AP55;0432C;;Epclusa 400 mg/100 mg filmom obalené tablety;tbl flm 28x400 mg/100 mg (fl.HDPE);9126,38;1;DF
D10AD53;3761C;;Epiduo;gél, 1x30 g (obal viacdávk.);19,77;1;g
N03AB02;62234;;Epilan D - Gerot;tbl 100x100 mg (blis.PVC/PVDC/Al);3,19;0,3;g
N03AX14;10947;X;Epiletam 1000 mg;tbl flm 120x1000 mg (blis.Al/PVC/PE/PVDC);39,12;1,5;g
N03AX14;10908;X;Epiletam 250 mg;tbl flm 60x250 mg (blis.Al/PVC/PE/PVDC);6,35;1,5;g
N03AX14;10925;X;Epiletam 500 mg;tbl flm 120x500 mg (blis.Al/PVC/PE/PVDC);21,39;1,5;g
L01DB03;47346;;Epimedac 2 mg/ml injekčný roztok;sol inj 1x25 ml/50 mg (liek.inj.skl.);30,32;1;mg
L01DB03;47344;;Epimedac 2 mg/ml injekčný roztok;sol inj 1x5 ml/10 mg (liek.inj.skl.);7,83;1;mg
C01CA24;25607;;EpiPen;sol inj 1x2 ml/0,3 mg (amp.inj.skl.);38,05;1;DF
C01CA24;32651;;EpiPen;sol inj 2x2 ml/0,3 mg (amp.inj.skl.);74,59;1;DF
C01CA24;25608;;EpiPen Jr.;sol inj 1x2 ml/0,15 mg (amp.inj.skl.);37,54;1;DF
C01CA24;32652;;EpiPen Jr.;sol inj 2x2 ml/0,15 mg (amp.inj.skl.);74,06;1;DF
L01DB03;20076;;Epirubicin Accord 2 mg/ml;sol ijf 1x25 ml/50 mg (liek.inj.skl.s bielym/modrým viečkom);30,2;1;mg
L01DB03;52549;;Epirubicin Mylan 2 mg/ ml;sol inj 1x25 ml/50 mg (liek.inj.skl.);20,55;1;mg
L01DB03;52547;;Epirubicin Mylan 2 mg/ ml;sol inj 1x5 ml/10 mg (liek.inj.skl.);5,34;1;mg
J05AF05;56452;X;Epivir 150 mg filmom obalené tablety;tbl flm 60x150 mg (fľ.HDPE);63,95;300;mg
C03DA04;5319D;X;EPLERAD 25 mg;tbl flm 30x25 mg (blis.PVC/Al-perfor.);13,04;1;DF
C03DA04;5320D;X;EPLERAD 25 mg;tbl flm 90x25 mg (blis.PVC/Al-perfor.);39,12;1;DF
C03DA04;5325D;X;EPLERAD 50 mg;tbl flm 30x50 mg (blis.PVC/Al-perfor.);14,43;1;DF
C03DA04;7039A;X;Eplerenon Mylan 25 mg filmom obalené tablety;tbl flm 30x25 mg (fľ.HDPE);13,73;1;DF
C03DA04;7043A;X;Eplerenon Mylan 50 mg filmom obalené tablety;tbl flm 30x50 mg (fľ.HDPE);15,45;1;DF
C03DA04;7564B;X;Eplerenon Sandoz 25 mg filmom obalené tablety;tbl flm 30x25 mg (blis.PVC/Al);13,67;1;DF
C03DA04;7569B;X;Eplerenon Sandoz 25 mg filmom obalené tablety;tbl flm 90x25 mg (blis.PVC/Al);40,17;1;DF
C03DA04;7588B;X;Eplerenon Sandoz 50 mg filmom obalené tablety;tbl flm 30x50 mg (blis.PVC/Al);16,21;1;DF
C03DA04;7593B;X;Eplerenon Sandoz 50 mg filmom obalené tablety;tbl flm 90x50 mg (blis.PVC/Al);43,29;1;DF
C03DA04;9253A;X;Eplerenon STADA 25 mg filmom obalené tablety;tbl flm 100x25 mg (blis.PVC/Al);44,63;1;DF
C03DA04;8245;X;Eplerenon STADA 25 mg filmom obalené tablety;tbl flm 30x25 mg (blis.PVC/Al);13,57;1;DF
C03DA04;9257A;X;Eplerenon STADA 50 mg filmom obalené tablety;tbl flm 100x50 mg (blis.PVC/Al);48,1;1;DF
C03DA04;8247;X;Eplerenon STADA 50 mg filmom obalené tablety;tbl flm 30x50 mg (blis.PVC/Al);15,42;1;DF
C03DA04;3399A;X;Eplerenone Teva 25 mg;tbl flm 30x1x25 mg (blis.PVC/PVDC/Al perf.);12,54;1;DF
C03DA04;3401A;X;Eplerenone Teva 25 mg;tbl flm 90x1x25 mg (blis.PVC/PVDC/Al perf.);40,17;1;DF
C03DA04;3381A;X;Eplerenone Teva 50 mg;tbl flm 30x1x50 mg (blis.PVC/PVDC/Al perf.);15,45;1;DF
C03DA04;3383A;X;Eplerenone Teva 50 mg;tbl flm 90x1x50 mg (blis.PVC/PVDC/Al perf.);43,29;1;DF
L04AD01;6408;;EQUORAL;sol por 1x50 ml (fľ.skl.hnedá);56,49;0,25;g
L04AD01;10185;;EQUORAL 100 mg;cps mol 50x100 mg (blis.Al/Al);51,19;0,25;g
L04AD01;10183;;EQUORAL 25 mg;cps mol 50x25 mg (blis.Al/Al);16,8;0,25;g
L04AD01;10184;;EQUORAL 50 mg;cps mol 50x50 mg (blis.Al/Al);30,84;0,25;g
L01XC06;40890;;Erbitux 5 mg/ml infúzny roztok;sol inf 1x20 ml/100 mg (liek.inj.skl.);172,14;1;DF
L04AB01;4602C;;Erelzi 25 mg injekčný roztok v naplnenej injekčnej striekačke;sol inj 4x0,5 ml/25 mg (striek.inj.napl.skl.);252,02;7;mg
L04AB01;4606C;;Erelzi 50 mg injekčný roztok v naplnenej injekčnej striekačke;sol inj 4x1 ml/50 mg (striek.inj.napl.skl.);409,67;7;mg
L04AB01;4610C;;Erelzi 50 mg injekčný roztok v naplnenom pere;sol inj 4x1 ml/50 mg (pero napl.skl.);409,7;7;mg
A11HA03;449;;EREVIT 300;sol inj 5x1 ml (amp.skl.);3,12;0,2;g
L01XX43;6555A;X;Erivedge 150 mg tvrdé kapsuly;cps dur 28x150 mg (fľ.HDPE);4479,75;1;DF
L02BB05;0335D;;Erleada 60 mg filmom obalené tablety;tbl flm 120x60 mg (blis.PVC/PCTFE/Al);3168,47;240;mg
L01XE03;4725C;X;Erlotinib Mylan 150 mg;tbl flm 30x150 mg (blis.Al/OPA/Al/PVC);485,12;150;mg
L01XE03;7458C;X;Erlotinib Sandoz 100 mg;tbl flm 30x100 mg (blis.Al/OPA/Al/PVC);464,64;150;mg
L01XE03;7459C;X;Erlotinib Sandoz 150 mg;tbl flm 30x150 mg (blis.Al/OPA/Al/PVC);485,12;150;mg
L01XE03;4688C;X;Erlotinib STADA 100 mg;tbl flm 30x100 mg (blis.Al/OPA/Al/PVC);464,64;150;mg
L01XE03;4691C;X;Erlotinib STADA 150 mg;tbl flm 30x150 mg (blis.Al/OPA/Al/PVC);485,12;150;mg
L01XE03;8439C;X;Erlotinib Teva B.V. 100 mg;tbl flm 30x100 mg (blis. Al/PVC);464,64;150;mg
L01XE03;8440C;X;Erlotinib Teva B.V. 150 mg;tbl flm 30x150 mg (blis. Al/PVC);485,13;150;mg
L01XE03;2274D;X;Erlotinib Vipharm 100 mg;tbl flm 30x100 mg (blis.OPA/Al/PVC/Al);464,64;150;mg
L01XE03;2275D;X;Erlotinib Vipharm 150 mg;tbl flm 30x150 mg (blis.OPA/Al/PVC/Al);485,12;150;mg
L01XE03;4270D;X;Erlotinib Zentiva 100 mg;tbl flm 30x100 mg (blis.OPA/Al/PVC/Al);464,64;150;mg
L01XE03;4271D;X;Erlotinib Zentiva 150 mg;tbl flm 30x150 mg (blis.OPA/Al/PVC/Al);485,12;150;mg
R06AX13;33239;X;Erolin;tbl 30x10 mg (blis.PVC/PVDC/Al);3,93;10;mg
D10AF02;75285;;ERYFLUID;sol der 1x100 ml (fľ.skl.hnedá);5,1;1;ml
N06AB10;0351C;X;Escitalopram Accord 10 mg filmom obalené tablety;tbl flm 98x10 mg (blis.PVC/PE/PVDC/Al);8,13;10;mg
N06AB10;3469D;X;Escitalopram FARMAX 10 mg;tbl flm 30x10 mg (blis.Al/Al);2,49;10;mg
N06AB10;3470D;X;Escitalopram FARMAX 10 mg;tbl flm 60x10 mg (blis.Al/Al);4,98;10;mg
N06AB10;80861;X;Escitalopram Mylan 10 mg;tbl flm 28x10 mg (blis.PVC/PVDC/Al);4,29;10;mg
N06AB10;68670;X;Escitalopram Teva 10 mg;tbl flm 28x10 mg (blis.PVC/PVDC/Al);2,6;10;mg
N06AB10;68674;X;Escitalopram Teva 10 mg;tbl flm 56x10 mg (blis.PVC/PVDC/Al);4,65;10;mg
N06AB10;76975;X;Escitil 10 mg;tbl flm 28x10 mg (blis. OPA/Al/PVC/Al);4,09;10;mg
N06AB10;76979;X;Escitil 10 mg;tbl flm 56x10 mg (blis. OPA/Al/PVC/Al);7,88;10;mg
N06AB10;77012;X;Escitil 15 mg;tbl flm 56x15 mg (blis. OPA/Al/PVC/Al);12,17;10;mg
N06AB10;77051;X;Escitil 20 mg;tbl flm 28x20 mg (blis. OPA/Al/PVC/Al);7,98;10;mg
N03AF04;9462C;X;Eslibon 800 mg tablety;tbl 30x800 mg (blis.PVC/Al-transparent.);52,26;800;mg
N05CF04;4032D;;Esogno 1 mg filmom obalené tablety;tbl flm 7x1 mg (blis.PVC/PVDC/PVC/Al);2,7;3;mg
N05CF04;4096D;;Esogno 3 mg filmom obalené tablety;tbl flm 28x3 mg (blis.PVC/PVDC/PVC/Al);10,93;3;mg
N05CF04;4092D;;Esogno 3 mg filmom obalené tablety;tbl flm 7x3 mg (blis.PVC/PVDC/PVC/Al);3,8;3;mg
N06AB10;76818;X;Esoprex 10 mg;tbl flm 30x10 mg (blis. OPA/Al/PVC/Al);5,48;10;mg
N06AB10;76819;X;Esoprex 10 mg;tbl flm 60x10 mg (blis. OPA/Al/PVC/Al);10,98;10;mg
B02BD02;2191D;;Esperoct 1000 IU prášok a rozpúšťadlo na injekčný roztok;plv iol 1x1000 IU + 1x4 ml solv. (liek.inj.skl.+striek.inj.napl.skl.);656,22;500;IU
B02BD02;2192D;;Esperoct 1500 IU prášok a rozpúšťadlo na injekčný roztok;plv iol 1x1500 IU + 1x4 ml solv. (liek.inj.skl.+striek.inj.napl.skl.);1005,14;500;IU
B02BD02;2190D;;Esperoct 500 IU prášok a rozpúšťadlo na injekčný roztok;plv iol 1x500 IU + 1x4 ml solv. (liek.inj.skl.+striek.inj.napl.skl.);331,16;500;IU
N06AX11;90134;X;ESPRITAL 30;tbl flm 30x30 mg (blis.PVC/PVDC/Al);3,43;30;mg
N06AX11;90135;X;ESPRITAL 45;tbl flm 30x45 mg (blis.PVC/PVDC/Al);4,86;30;mg
L01XX11;58742;X;ESTRACYT 140 mg;cps dur 100x140 mg (fľ.skl.hnedá);92,37;10;mg
G03CA03;26704;X;Estrofem 1 mg;tbl flm 28x1 mg;3,99;2;mg
L01CB01;12669;;"Etoposid ""Ebewe"" 100 mg";sol inf 1x5 ml/100 mg (liek.skl.hnedá);7,53;1;mg
L01CB01;12670;;"Etoposid ""Ebewe"" 200 mg";sol inf 1x10 ml/200 mg (liek.skl.hnedá);13,97;1;mg
L01CB01;0796B;;Etopozid Accord 20 mg/ml infúzny koncentrát;con inf 1x5 ml/100 mg (liek.inj.skl.);7,53;1;mg
L02BG04;54673;X;ETRUZIL;tbl flm 90x2,5 mg (blis.PVC/Al);38,43;2,5;mg
A10BD08;4716D;;Eucreas 50 mg/1000 mg filmom obalené tablety;tbl flm 60x50 mg/1000 mg (blis.PVC/PE/PVDC/Al);16,47;2;DF
A10BD08;4707D;;Eucreas 50 mg/850 mg filmom obalené tablety;tbl flm 60x50 mg/850 mg (blis.PVC/PE/PVDC/Al);18,51;2;DF
R03DA04;44305;X;EUPHYLLIN CR N 200;cps plg 50x200 mg (blis.PVC/PVDC/Al);3,98;0,4;g
R03DA04;44307;X;EUPHYLLIN CR N 300;cps plg 50x300 mg (blis.PVC/PVDC/Al);5,42;0,4;g
R03DA04;44309;X;EUPHYLLIN CR N 400;cps plg 50x400 mg (blis.PVC/PVDC/Al);7,95;0,4;g
H03AA01;91945;X;Euthyrox 100 mikrogramov;tbl 100x100 µg (blis.PVC/Al);2,96;0,15;mg
H03AA01;5254;X;Euthyrox 112 mikrogramov;tbl 100x112 µg (blis.PVC/Al);4,5;0,15;mg
H03AA01;91974;X;Euthyrox 125 mikrogramov;tbl 100x125 µg (blis.PVC/Al);3,96;0,15;mg
H03AA01;5256;X;Euthyrox 137 mikrogramov;tbl 100x137 µg (blis.PVC/Al);6,02;0,15;mg
H03AA01;91948;X;Euthyrox 150 mikrogramov;tbl 100x150 µg (blis.PVC/Al);4,35;0,15;mg
H03AA01;91987;X;Euthyrox 200 mikrogramov;tbl 100x200 µg (blis.PVC/Al);7,27;0,15;mg
H03AA01;91954;X;Euthyrox 25 mikrogramov;tbl 100x25 µg (blis.PVC/Al);2,31;0,15;mg
H03AA01;91951;X;Euthyrox 50 mikrogramov;tbl 100x50 µg (blis.PVC/Al);2,1;0,15;mg
H03AA01;91966;X;Euthyrox 75 mikrogramov;tbl 100x75 µg (blis.PVC/Al);3,12;0,15;mg
H03AA01;5252;X;Euthyrox 88 mikrogramov;tbl 100x88 µg (blis.PVC/Al);3,54;0,15;mg
R03AK06;0925D;;Everio 25 mikrogramov/125 mikrogramov/dávka inhalačná suspenzia v tlakovom obale;sus inh 1x120 dávok (nád.tlak.Al);18;4;DF
R03AK06;0927D;;Everio 25 mikrogramov/250 mikrogramov/dávka inhalačná suspenzia v tlakovom obale;sus inh 1x120 dávok (nád.tlak.Al);22,15;4;DF
R03AK06;0926D;;Everio 25 mikrogramov/50 mikrogramov/dávka inhalačná suspenzia v tlakovom obale;sus inh 1x120 dávok (nád.tlak.Al);12,64;4;DF
R03AK06;6291D;;Everio Airmaster 50 mikrogramov/100 mikrogramov;plv ido 1x60 dávok (blis.Al/OPA/PVC+ inhalátor);10,92;2;DF
R03AK06;6287D;;Everio Airmaster 50 mikrogramov/250 mikrogramov;plv ido 1x60 dávok (blis.Al/OPA/PVC+inhalátor);16,22;2;DF
R03AK06;6283D;;Everio Airmaster 50 mikrogramov/500 mikrogramov;plv ido 1x60 dávok (blis.Al/OPA/PVC+ inhalátor);20,44;2;DF
L01EG02;8510C;X;Everolimus Krka 10 mg;tbl 30x10 mg (blis.OPA/Al/PVC/Al);1204,55;10;mg
L01EG02;8507C;X;Everolimus Krka 5 mg;tbl 30x5 mg (blis.OPA/Al/PVC/Al);874,32;10;mg
L01EG02;8829C;X;Everolimus Mylan 5 mg tablety;tbl 30x5 mg (blis.OPA/Al/PVC/Al);874,32;10;mg
L01EG02;1204D;X;Everolimus Sandoz 10 mg;tbl 30x10 mg (blis.Al/PA/Al/PVC);1204,55;10;mg
L01EG02;1198D;X;Everolimus Sandoz 5 mg;tbl 30x5 mg (blis.Al/PA/Al/PVC);874,32;10;mg
L01EG02;0990D;X;EVEROLIMUS STADA 10 mg;tbl 30x1x10 mg (blis.OPA/Al/PVC/Al-jednotliv.bal.);1204,56;10;mg
L01EG02;0987D;X;EVEROLIMUS STADA 5 mg;tbl 30x1x5 mg (blis.OPA/Al/PVC/Al-jednotliv.bal.);874,32;10;mg
L01EG02;4337C;X;Everolimus Teva 10 mg;tbl 30x1x10 mg (blis.OPA/Al/PVC/Al-jednotliv.bal.);1204,55;10;mg
L01EG02;4325C;X;Everolimus Teva 5 mg;tbl 30x1x5 mg (blis.OPA/Al/PVC/Al-jednotliv.bal.);874,32;10;mg
L01EG02;2212D;X;Everolimus Vipharm 10 mg tablety;tbl 30x10 mg (blis. Al/Al);1204,55;10;mg
L01EG02;2209D;X;Everolimus Vipharm 5 mg tablety;tbl 30x5 mg (blis. Al/Al);874,32;10;mg
J05AR08;31086;;Eviplera 200 mg/25 mg/245 mg filmom obalené tablety;tbl flm 30x200 mg/25 mg/245 mg (fľ.HDPE);526,11;1;DF
B03XA05;8498D;;Evrenzo 100 mg filmom obalené tablety;tbl flm 12x1x100 mg (blis.PVC/Al);454,77;1;DF
B03XA05;8499D;;Evrenzo 150 mg filmom obalené tablety;tbl flm 12x1x150 mg (blis.PVC/Al);677,92;1;DF
B03XA05;8495D;;Evrenzo 20 mg filmom obalené tablety;tbl flm 12x1x20 mg (blis.PVC/Al);94,73;1;DF
B03XA05;8496D;;Evrenzo 50 mg filmom obalené tablety;tbl flm 12x1x50 mg (blis.PVC/Al);230,33;1;DF
B03XA05;8497D;;Evrenzo 70 mg filmom obalené tablety;tbl flm 12x1x70 mg (blis.PVC/Al);320,47;1;DF
M09AX10;7302D;;Evrysdi 0,75 mg/ml prášok na perorálny roztok;plo por 1x60 mg (fľ.skl.jantár.);9426,68;5;mg
D02AE01;97153;;EXCIPIAL U HYDROLOTIO;emu der 1x200 ml (fľ.PVC);4,47;1;ml
D02AE01;97152;;EXCIPIAL U LIPOLOTIO;emu der 1x200 ml (fľ.PVC);5,9;1;ml
N06DA03;3250D;;Exelon 13,3 mg/24 h transdermálna náplasť;emp tdm 30x13,3 mg/24 hodín (vre.pap.PET/PE/Al/PA);37,82;9,5;mg
N06DA03;3242D;;Exelon 4,6 mg/24 h transdermálna náplasť;emp tdm 30x4,6 mg/24 hodín (vre.pap.PET/PE/Al/PA);23,76;9,5;mg
N06DA03;3246D;;Exelon 9,5 mg/24 h transdermálna náplasť;emp tdm 30x9,5 mg/24 hodín (vre.pap.PET/PE/Al/PA);31,21;9,5;mg
L02BG06;5310;X;Exemestan Mylan 25 mg;tbl flm 30x25 mg (blis.PVC/PVDC/Al);19,77;25;mg
L02BG06;20334;X;Exemestane Pharmacenter 25 mg filmom obalené tablety;tbl flm 90x25 mg (blis.PVC/PVDC/Al);59,31;25;mg
V03AC03;5453D;X;Exferana 180 mg;tbl flm 30x180 mg (blis.PVC/PVDC/Al);166,79;14;mg/kg
V03AC03;5457D;X;Exferana 360 mg;tbl flm 30x360 mg (blis.PVC/PVDC/Al);325,9;14;mg/kg
V03AC03;9172B;X;EXJADE 180 mg filmom obalené tablety;tbl flm 30x180 mg (blis. PVC/PVDC/Al);309,78;14;mg/kg
V03AC03;9175B;X;EXJADE 360 mg filmom obalené tablety;tbl flm 30x360 mg (blis. PVC/PVDC/Al);642,83;14;mg/kg
S01LA05;3406A;;Eylea 40 mg/ml, injekčný roztok naplnený v injekčnej striekačke;sol inj 1x90 µl/3,6 mg (striek.inj.napl.skl.);668,62;1;DF
C10AX09;5330A;X;Ezen 10 mg;tbl 30x10 mg (blis.PVC/Aclar/PVC/Al);7,27;10;mg
C10AX09;8683D;X;Ezen 10 mg;tbl 30x10 mg (blis.PVC/PE/PVDC/Al);7,27;10;mg
C10AX09;5333A;X;Ezen 10 mg;tbl 90x10 mg (blis.PVC/Aclar/PVC/Al);21,34;10;mg
C10AX09;8687D;X;Ezen 10 mg;tbl 90x10 mg (blis.PVC/PE/PVDC/Al);15,81;10;mg
C10AX09;0421B;X;Ezetimib Mylan 10 mg;tbl 30x10 mg (blis.PVC/Aclar/Al);11,8;10;mg
C10AX09;0957C;X;Ezetimib Stada 10 mg;tbl 30x10 mg (blis.PVC/PCTFE/PVC//A);7,27;10;mg
C10AX09;0963C;X;Ezetimib Stada 10 mg;tbl 98x10 mg (blis.PVC/PCTFE/PVC//A);17,25;10;mg
C10AX09;9354B;X;Ezetimib Teva 10 mg;tbl 30x10 mg (blis.PVC/Aclar/PVC/Al);7,27;10;mg
C10AX09;9359B;X;Ezetimib Teva 10 mg;tbl 98x10 mg (blis.PVC/Aclar/PVC/Al);17,25;10;mg
C10BA02;1620C;;Ezetimib/simvastatín Teva B.V. 10 mg/20 mg;tbl 30x10 mg/20 mg (blis.OPA/Al/PVC/Al);9,1;1;DF
C10BA02;2279D;;Ezetimib/simvastatín Teva B.V. 10 mg/20 mg;tbl 98x10 mg/20 mg (blis.OPA/Al/PVC/Al);25,85;1;DF
C10BA02;1627C;;Ezetimib/simvastatín Teva B.V. 10 mg/40 mg;tbl 100x10 mg/40 mg (blis.OPA/Al/PVC/Al);27,72;1;DF
C10BA02;1626C;;Ezetimib/simvastatín Teva B.V. 10 mg/40 mg;tbl 30x10 mg/40 mg (blis.OPA/Al/PVC/Al);9,96;1;DF
C10AX09;7137B;X;Ezetimibe Glenmark 10 mg tablety;tbl 30x10 mg (blis.PVC/Aclar/Al);7,27;10;mg
